"Ac_35_50_37","Homeless Sleeping","Ac_35_50"
"Ac_35_50_38","Hospice Sleeping","Ac_35_50"
"Ac_35_50_42","Infant Day Activities","Ac_35_50"
"Ac_35_50_55","Needle Using","Ac_35_50"
"Ac_35_50_57","Nursing Home Sleeping","Ac_35_50"
"Ac_35_50_75","Sanatoria Caring","Ac_35_50"
"Ac_35_50_80","Soup Dispensing","Ac_35_50"
"Ac_35_50_85","Suicide-Watching","Ac_35_50"
"Ac_35_50_97","Welfare Interviewing","Ac_35_50"
"Ac_35_70","Funerary Activities","Ac_35"
"Ac_35_70_04","Ash Urn Storing","Ac_35_70"
"Ac_35_70_10","Burial (in Ground)","Ac_35_70"
"Ac_35_70_15","Communal Memorialising","Ac_35_70"
"Ac_35_70_16","Corpse Holding","Ac_35_70"
"Ac_35_70_17","Corpse Observing","Ac_35_70"
"Ac_35_70_18","Cremating","Ac_35_70"
"Ac_35_70_29","Family Memorialising","Ac_35_70"
"Ac_35_70_30","Field Corpse Holding","Ac_35_70"
"Ac_35_70_31","Funeral Activities","Ac_35_70"
"Ac_35_70_32","Funeral Vault Storing","Ac_35_70"
"Ac_35_70_65","Private Memorialising","Ac_35_70"
"Ac_35_70_72","Remembering","Ac_35_70"
"Ac_35_80","Sanitary Activities","Ac_35"
"Ac_35_80_01","Accessible Changing","Ac_35_80"
"Ac_35_80_02","Accessible Public Bathing","Ac_35_80"
"Ac_35_80_03","Accessible Public Showering","Ac_35_80"
"Ac_35_80_04","Accessible Public Toileting","Ac_35_80"
"Ac_35_80_06","Baby Changing","Ac_35_80"
"Ac_35_80_50","Men’s Changing","Ac_35_80"
"Ac_35_80_51","Men’s Public Bathing","Ac_35_80"
"Ac_35_80_52","Men’s Public Showering","Ac_35_80"
"Ac_35_80_53","Men’s Public Toileting","Ac_35_80"
"Ac_35_80_59","Open Showering","Ac_35_80"
"Ac_35_80_64","Private Bathing","Ac_35_80"
"Ac_35_80_65","Private Showering","Ac_35_80"
"Ac_35_80_66","Private Toileting","Ac_35_80"
"Ac_35_80_80","Smoking","Ac_35_80"
"Ac_35_80_91","Unisex Changing","Ac_35_80"
"Ac_35_80_92","Unisex Public Bathing","Ac_35_80"
"Ac_35_80_93","Unisex Public Showering","Ac_35_80"
"Ac_35_80_94","Unisex Public Toileting","Ac_35_80"
"Ac_35_80_95","Urinating","Ac_35_80"
"Ac_35_80_96","Women’s Changing","Ac_35_80"
"Ac_35_80_97","Women’s Public Bathing","Ac_35_80"
"Ac_35_80_98","Women’s Public Showering","Ac_35_80"
"Ac_35_80_99","Women’s Public Toileting","Ac_35_80"
"Ac_35_90","Animal Medical, Health, Welfare, Funerary And Sanitary Activities","Ac_35"
"Ac_35_90_02","Animal Caring","Ac_35_90"
"Ac_35_90_03","Animal Clipping And Pedicuring","Ac_35_90"
"Ac_35_90_04","Animal Drug Dispensing","Ac_35_90"
"Ac_35_90_05","Animal Exercising","Ac_35_90"
"Ac_35_90_06","Animal Funerary Activities","Ac_35_90"
"Ac_35_90_07","Animal Operating","Ac_35_90"
"Ac_35_90_08","Animal Quarantining","Ac_35_90"
"Ac_35_90_09","Animal Recovering","Ac_35_90"
"Ac_35_90_37","Hippotherapy","Ac_35_90"
"Ac_35_90_92","Welfare Bird Housing","Ac_35_90"
"Ac_35_90_93","Welfare Cage Housing","Ac_35_90"
"Ac_35_90_94","Welfare Fish Housing","Ac_35_90"
"Ac_35_90_95","Welfare Kennelling","Ac_35_90"
"Ac_35_90_96","Welfare Pig Housing","Ac_35_90"
"Ac_35_90_97","Welfare Stabling","Ac_35_90"
"Ac_35_90_98","Welfare Stall Housing","Ac_35_90"
"Ac_40","Recreational Activities","Ac"
"Ac_40_05","Amusement Activities","Ac_40"
"Ac_40_05_01","Adventure Playing","Ac_40_05"
"Ac_40_05_03","Amusement Arcade Activities","Ac_40_05"
"Ac_40_05_08","Bookmaking","Ac_40_05"
"Ac_40_05_11","Camping","Ac_40_05"
"Ac_40_05_12","Caravanning","Ac_40_05"
"Ac_40_05_17","Contemplative Strolling","Ac_40_05"
"Ac_40_05_23","Dodgem Car Driving","Ac_40_05"
"Ac_40_05_33","Gambling","Ac_40_05"
"Ac_40_05_42","Indoor Ride Taking","Ac_40_05"
"Ac_40_05_43","Interpreting","Ac_40_05"
"Ac_40_05_58","Observing","Ac_40_05"
"Ac_40_05_59","Outdoor Activities","Ac_40_05"
"Ac_40_05_60","Outdoor Ride Taking","Ac_40_05"
"Ac_40_05_62","Permanent Fair Activities","Ac_40_05"
"Ac_40_05_63","Playing","Ac_40_05"
"Ac_40_05_65","Pleasure Strolling","Ac_40_05"
"Ac_40_05_88","Temporary Fair Activities","Ac_40_05"
"Ac_40_05_89","Theme Park Activities","Ac_40_05"
"Ac_40_05_90","Tourist Informing","Ac_40_05"
"Ac_40_20","Dining Activities","Ac_40"
"Ac_40_20_04","Alcoholic Beverage Dispensing","Ac_40_20"
"Ac_40_20_06","Banqueting","Ac_40_20"
"Ac_40_20_07","Beer Storing","Ac_40_20"
"Ac_40_20_08","Beer Outdoor Consuming","Ac_40_20"
"Ac_40_20_09","Beverage Dispensing","Ac_40_20"
"Ac_40_20_10","Buffet Displaying","Ac_40_20"
"Ac_40_20_14","Cocktail Drinking","Ac_40_20"
"Ac_40_20_15","Cold Storing","Ac_40_20"
"Ac_40_20_16","Cooking/ Chilling","Ac_40_20"
"Ac_40_20_19","Customer Queuing","Ac_40_20"
"Ac_40_20_20","Customer Waiting","Ac_40_20"
"Ac_40_20_27","Enclosed Dining","Ac_40_20"
"Ac_40_20_28","Food Activities","Ac_40_20"
"Ac_40_20_29","Food Preparation","Ac_40_20"
"Ac_40_20_30","Food Serving","Ac_40_20"
"Ac_40_20_31","Food Storing","Ac_40_20"
"Ac_40_20_32","Footpath Dining","Ac_40_20"
"Ac_40_20_33","Function Activities","Ac_40_20"
"Ac_40_20_52","Mess Dining","Ac_40_20"
"Ac_40_20_58","Open-Plan Dining","Ac_40_20"
"Ac_40_20_59","Outdoor Dining","Ac_40_20"
"Ac_40_20_72","Refectory Dining","Ac_40_20"
"Ac_40_20_75","Salad Displaying","Ac_40_20"
"Ac_40_20_90","Tray Returning","Ac_40_20"
"Ac_40_20_96","Waste Food Handling","Ac_40_20"
"Ac_40_20_98","Wine Storing","Ac_40_20"
"Ac_40_35_04","Anglo-Saxon Ruins Exploring","Ac_40_35"
"Ac_40_35_06","Battle Sites Exploring","Ac_40_35"
"Ac_40_35_37","Historic Earthworks Exploring","Ac_40_35"
"Ac_40_35_41","Indoor Historic Activities","Ac_40_35"
"Ac_40_35_42","Industrial Ruins Exploring","Ac_40_35"
"Ac_40_35_51","Medieval Ruins Exploring","Ac_40_35"
"Ac_40_35_57","Norman Ruins Exploring","Ac_40_35"
"Ac_40_35_66","Prehistoric Ruins Exploring","Ac_40_35"
"Ac_40_35_72","Roman Ruins Exploring","Ac_40_35"
"Ac_40_35_95","Viking Ruins Exploring","Ac_40_35"
"Ac_40_60","Performing Arts Performance Activities","Ac_40"
"Ac_40_60_13","Circus Performing","Ac_40_60"
"Ac_40_60_21","Dancing","Ac_40_60"
"Ac_40_60_29","Fashion Parades","Ac_40_60"
"Ac_40_60_30","Film Activities","Ac_40_60"
"Ac_40_60_53","Motion Picture Screening","Ac_40_60"
"Ac_40_60_55","Music Recording","Ac_40_60"
"Ac_40_60_58","Orchestra Performing (concealed)","Ac_40_60"
"Ac_40_60_59","Outdoor Theatre Activities","Ac_40_60"
"Ac_40_60_62","Performing Dance","Ac_40_60"
"Ac_40_60_63","Performing Music Indoors","Ac_40_60"
"Ac_40_60_64","Performing Music Outdoors","Ac_40_60"
"Ac_40_60_65","Performing Opera","Ac_40_60"
"Ac_40_60_66","Performing Theatre","Ac_40_60"
"Ac_40_60_71","Recording Music","Ac_40_60"
"Ac_40_65","Performing Arts Ancillary Activities","Ac_40"
"Ac_40_65_02","Amphitheatre Seating","Ac_40_65"
"Ac_40_65_03","Artiste Changing And Make-Up","Ac_40_65"
"Ac_40_65_04","Audience Breaking Out","Ac_40_65"
"Ac_40_65_05","Audience Seating","Ac_40_65"
"Ac_40_65_06","Backstage Activities","Ac_40_65"
"Ac_40_65_08","Box Seating","Ac_40_65"
"Ac_40_65_31","Foyer Activities","Ac_40_65"
"Ac_40_65_33","Gallery Seating","Ac_40_65"
"Ac_40_65_47","Lighting Controlling","Ac_40_65"
"Ac_40_65_55","Music Recording Controlling","Ac_40_65"
"Ac_40_65_59","Overhead Scenery Storing","Ac_40_65"
"Ac_40_65_66","Projecting","Ac_40_65"
"Ac_40_65_72","Rehearsing","Ac_40_65"
"Ac_40_65_76","Scenery Controlling","Ac_40_65"
"Ac_40_65_79","Sound Controlling","Ac_40_65"
"Ac_40_65_80","Sound Excluding","Ac_40_65"
"Ac_40_65_84","Stage Entering And Exiting","Ac_40_65"
"Ac_40_65_85","Stalls Seating","Ac_40_65"
"Ac_40_65_88","Temporary Seating","Ac_40_65"
"Ac_40_65_89","Ticketing","Ac_40_65"
"Ac_40_75","Social Recreation Activities","Ac_40"
"Ac_40_75_14","Club Activities","Ac_40_75"
"Ac_40_75_15","Community Activities","Ac_40_75"
"Ac_40_80","Summer Olympic Sports Play Activities (excl. Pool Sports)","Ac_40"
"Ac_40_80_01","Archery","Ac_40_80"
"Ac_40_80_02","Artistic Gymnastics","Ac_40_80"
"Ac_40_80_04","Athletics","Ac_40_80"
"Ac_40_80_06","Badminton","Ac_40_80"
"Ac_40_80_07","Basketball","Ac_40_80"
"Ac_40_80_08","Beach Volleyball","Ac_40_80"
"Ac_40_80_09","Bmx Cycling","Ac_40_80"
"Ac_40_80_10","Boxing","Ac_40_80"
"Ac_40_80_11","Canoe Slalom","Ac_40_80"
"Ac_40_80_12","Canoe Sprint","Ac_40_80"
"Ac_40_80_26","Equestrian Dressage","Ac_40_80"
"Ac_40_80_27","Equestrian Eventing","Ac_40_80"
"Ac_40_80_28","Equestrian Jumping","Ac_40_80"
"Ac_40_80_29","Fencing","Ac_40_80"
"Ac_40_80_31","Football","Ac_40_80"
"Ac_40_80_36","Handball","Ac_40_80"
"Ac_40_80_38","Hockey","Ac_40_80"
"Ac_40_80_44","Judo","Ac_40_80"
"Ac_40_80_53","Mountain Biking","Ac_40_80"
"Ac_40_80_71","Rhythmic Gymnastics","Ac_40_80"
"Ac_40_80_72","Road Cycling","Ac_40_80"
"Ac_40_80_73","Rowing","Ac_40_80"
"Ac_40_80_75","Sailing","Ac_40_80"
"Ac_40_80_77","Shooting","Ac_40_80"
"Ac_40_80_87","Table Tennis","Ac_40_80"
"Ac_40_80_88","Taekwondo","Ac_40_80"
"Ac_40_80_89","Tennis","Ac_40_80"
"Ac_40_80_90","Track Cycling","Ac_40_80"
"Ac_40_80_91","Trampoline Gymnastics","Ac_40_80"
"Ac_40_80_95","Volleyball","Ac_40_80"
"Ac_40_80_97","Weightlifting","Ac_40_80"
"Ac_40_80_98","Wrestling","Ac_40_80"
"Ac_40_81","Winter Olympic Sports Play Activities","Ac_40"
"Ac_40_81_02","Alpine Skiing","Ac_40_81"
"Ac_40_81_08","Bobsledding","Ac_40_81"
"Ac_40_81_19","Cross-Country Skiing","Ac_40_81"
"Ac_40_81_20","Curling","Ac_40_81"
"Ac_40_81_30","Figure Skating","Ac_40_81"
"Ac_40_81_32","Freestyle Skiing ","Ac_40_81"
"Ac_40_81_40","Ice Hockey","Ac_40_81"
"Ac_40_81_49","Luge","Ac_40_81"
"Ac_40_81_76","Short Track Speed Skating","Ac_40_81"
"Ac_40_81_77","Skeleton","Ac_40_81"
"Ac_40_81_78","Ski Jumping","Ac_40_81"
"Ac_40_81_80","Snowboarding","Ac_40_81"
"Ac_40_81_83","Speed Skating","Ac_40_81"
"Ac_40_82","Non-Olympic Indoor Sports Play Activities","Ac_40"
"Ac_40_82_01","Aerobics","Ac_40_82"
"Ac_40_82_08","Body Building","Ac_40_82"
"Ac_40_82_12","Circuit Training","Ac_40_82"
"Ac_40_82_14","Climbing Wall Activities","Ac_40_82"
"Ac_40_82_21","Darts Throwing","Ac_40_82"
"Ac_40_82_31","Fives","Ac_40_82"
"Ac_40_82_50","Martial Arts","Ac_40_82"
"Ac_40_82_56","Netball","Ac_40_82"
"Ac_40_82_72","Rope Climbing","Ac_40_82"
"Ac_40_82_78","Skittles","Ac_40_82"
"Ac_40_82_79","Snooker","Ac_40_82"
"Ac_40_82_80","Solaria","Ac_40_82"
"Ac_40_82_83","Squash","Ac_40_82"
"Ac_40_82_86","Sumo","Ac_40_82"
"Ac_40_82_90","Ten Pin Bowling","Ac_40_82"
"Ac_40_82_98","Working Out ","Ac_40_82"
"Ac_40_83","Non-Olympic Outdoor Sports Play Activities","Ac_40"
"Ac_40_83_06","Baseball","Ac_40_83"
"Ac_40_83_08","Bowling","Ac_40_83"
"Ac_40_83_11","Car Racing","Ac_40_83"
"Ac_40_83_17","Cricket","Ac_40_83"
"Ac_40_83_18","Cross-Country Cycling","Ac_40_83"
"Ac_40_83_19","Cross-Country Rallying","Ac_40_83"
"Ac_40_83_20","Cross-Country Running","Ac_40_83"
"Ac_40_83_23","Dog Racing","Ac_40_83"
"Ac_40_83_30","Fishing","Ac_40_83"
"Ac_40_83_31","Five-A-Side Soccer","Ac_40_83"
"Ac_40_83_33","Gliding","Ac_40_83"
"Ac_40_83_34","Golfing","Ac_40_83"
"Ac_40_83_38","Hang Gliding","Ac_40_83"
"Ac_40_83_39","Horse Racing","Ac_40_83"
"Ac_40_83_52","Motor Boating","Ac_40_83"
"Ac_40_83_53","Motorcycle Racing","Ac_40_83"
"Ac_40_83_60","Parkour","Ac_40_83"
"Ac_40_83_64","Polo","Ac_40_83"
"Ac_40_83_71","Road Cycling","Ac_40_83"
"Ac_40_83_72","Road Racing","Ac_40_83"
"Ac_40_83_73","Road Running","Ac_40_83"
"Ac_40_83_74","Rugby","Ac_40_83"
"Ac_40_83_76","Skateboarding","Ac_40_83"
"Ac_40_83_80","Softball","Ac_40_83"
"Ac_40_83_84","Street Luge","Ac_40_83"
"Ac_40_83_90","Tobogganing","Ac_40_83"
"Ac_40_83_96","Walking ","Ac_40_83"
"Ac_40_83_97","Water Skiing","Ac_40_83"
"Ac_40_84","Sports Ancillary Activities","Ac_40"
"Ac_40_84_15","Corporate Seating","Ac_40_84"
"Ac_40_84_50","Manager And Coach Seating","Ac_40_84"
"Ac_40_84_65","Press Seating","Ac_40_84"
"Ac_40_84_72","Reserves Seating","Ac_40_84"
"Ac_40_84_77","Ski Lift Travelling","Ac_40_84"
"Ac_40_84_82","Spectator Seating","Ac_40_84"
"Ac_40_84_83","Spectator Standing","Ac_40_84"
"Ac_40_84_89","Temporary Seating","Ac_40_84"
"Ac_40_84_94","Vip Spectator Seating","Ac_40_84"
"Ac_40_85","Swimming Activities","Ac_40"
"Ac_40_85_22","Diving","Ac_40_85"
"Ac_40_85_42","Informal Swimming","Ac_40_85"
"Ac_40_85_65","Pool Plant Operating","Ac_40_85"
"Ac_40_85_71","Recreational Swimming","Ac_40_85"
"Ac_40_85_82","Splashing","Ac_40_85"
"Ac_40_85_83","Olympics Swimming","Ac_40_85"
"Ac_40_85_86","Synchronised Swimming (Olympic)","Ac_40_85"
"Ac_40_85_88","Therapy","Ac_40_85"
"Ac_40_85_92","Underwater Observation","Ac_40_85"
"Ac_40_85_93","Wading","Ac_40_85"
"Ac_40_85_94","Water Flumes And Tubes Riding","Ac_40_85"
"Ac_40_85_95","Water Polo (Olympic)","Ac_40_85"
"Ac_40_85_96","Water Slides Riding","Ac_40_85"
"Ac_40_85_97","Wave Riding","Ac_40_85"
"Ac_40_85_98","Whirlpool/ Spa","Ac_40_85"
"Ac_45","Residential Activities","Ac"
"Ac_45_10","Long-Term Residential Activities","Ac_45"
"Ac_45_10_06","Back Garden Activities","Ac_45_10"
"Ac_45_10_07","Bathing","Ac_45_10"
"Ac_45_10_08","Book Storing And Reading","Ac_45_10"
"Ac_45_10_11","Car Storing","Ac_45_10"
"Ac_45_10_13","Clothes Drying","Ac_45_10"
"Ac_45_10_22","Dining","Ac_45_10"
"Ac_45_10_29","Food Preparing","Ac_45_10"
"Ac_45_10_30","Front Garden Activities","Ac_45_10"
"Ac_45_10_33","Garaging","Ac_45_10"
"Ac_45_10_46","Laundering","Ac_45_10"
"Ac_45_10_49","Living","Ac_45_10"
"Ac_45_10_75","Safe Room Activities","Ac_45_10"
"Ac_45_10_77","Showering","Ac_45_10"
"Ac_45_10_79","Sleeping","Ac_45_10"
"Ac_45_10_85","Storing","Ac_45_10"
"Ac_45_10_87","Studying","Ac_45_10"
"Ac_45_10_90","Toileting","Ac_45_10"
"Ac_45_10_92","Under Cover Outdoor Seating","Ac_45_10"
"Ac_45_10_93","Utility Activities","Ac_45_10"
"Ac_45_10_96","Walk-In Clothes Storing","Ac_45_10"
"Ac_45_10_97","Wine Cellar Storing","Ac_45_10"
"Ac_45_50","Short-Term Residential Activities","Ac_45"
"Ac_45_50_15","Communal Alcoholic Beverage Dispensing","Ac_45_50"
"Ac_45_50_16","Communal Bathing","Ac_45_50"
"Ac_45_50_17","Communal Dining","Ac_45_50"
"Ac_45_50_18","Communal Living","Ac_45_50"
"Ac_45_50_19","Communal Studying","Ac_45_50"
"Ac_45_50_20","Concierge","Ac_45_50"
"Ac_45_50_23","Dormitory Sleeping","Ac_45_50"
"Ac_45_50_24","Dropping-Off And Collecting","Ac_45_50"
"Ac_45_50_36","Hotel Accommodating","Ac_45_50"
"Ac_45_50_37","Hotel Entering And Exiting","Ac_45_50"
"Ac_45_50_39","Hotel Waiting","Ac_45_50"
"Ac_45_50_47","Left Luggage Storing","Ac_45_50"
"Ac_45_50_62","Private Bathing","Ac_45_50"
"Ac_45_50_63","Private Dining","Ac_45_50"
"Ac_45_50_64","Private Living","Ac_45_50"
"Ac_45_50_65","Private Studying","Ac_45_50"
"Ac_45_50_67","Public Alcoholic Beverage Dispensing","Ac_45_50"
"Ac_45_50_68","Public Dining","Ac_45_50"
"Ac_50","Disposal Activities","Ac"
"Ac_50_20","Wet Waste Collection And Distribution Activities","Ac_50"
"Ac_50_20_10","Wet Waste Collecting","Ac_50_20"
"Ac_50_20_50","Wet Waste Distributing","Ac_50_20"
"Ac_50_40","Dry Waste Collection And Distribution Activities","Ac_50"
"Ac_50_40_10","Dry Waste Collecting","Ac_50_40"
"Ac_50_40_50","Dry Waste Distributing","Ac_50_40"
"Ac_50_60","Wet Waste Storage, Treatment And Disposal Activities","Ac_50"
"Ac_50_60_10","Wet Waste Storing","Ac_50_60"
"Ac_50_60_40","Wet Waste Treating","Ac_50_60"
"Ac_50_60_70","Wet Waste Disposing","Ac_50_60"
"Ac_50_80","Dry Waste Storage, Treatment And Disposal Activities","Ac_50"
"Ac_50_80_10","Dry Waste Storing","Ac_50_80"
"Ac_50_80_40","Dry Waste Treating","Ac_50_80"
"Ac_50_80_70","Dry Waste Disposing","Ac_50_80"
"Ac_55","Piped Supply Activities","Ac"
"Ac_55_20","Water Extraction And Treatment Activities","Ac_55"
"Ac_55_20_10","Water Extracting","Ac_55_20"
"Ac_55_20_50","Water Treating","Ac_55_20"
"Ac_55_40","Fuel And Gas Extraction And Treatment Activities","Ac_55"
"Ac_55_40_10","Fuel Extracting","Ac_55_40"
"Ac_55_40_30","Gas Extracting","Ac_55_40"
"Ac_55_40_50","Fuel Treating","Ac_55_40"
"Ac_55_40_70","Gas Treating","Ac_55_40"
"Ac_55_60","Water Storage Activities","Ac_55"
"Ac_55_60_10","Water Storing","Ac_55_60"
"Ac_55_70","Fuel And Gas Storage Activities","Ac_55"
"Ac_55_70_10","Fuel Storing","Ac_55_70"
"Ac_55_70_50","Gas Storing","Ac_55_70"
"Ac_55_80","Water Distribution Activities","Ac_55"
"Ac_55_80_10","Water Distributing","Ac_55_80"
"Ac_55_90","Fuel And Gas Distribution Activities","Ac_55"
"Ac_55_90_10","Fuel Distributing","Ac_55_90"
"Ac_55_90_50","Gas Distributing","Ac_55_90"
"Ac_60","Heating, Cooling And Refrigeration Activities","Ac"
"Ac_60_10","Heating Activities","Ac_60"
"Ac_60_10_10","Heater Operating & Maintenance","Ac_60_10"
"Ac_60_10_15","Distributing Heating","Ac_60_10"
"Ac_60_40","Cooling Activities","Ac_60"
"Ac_60_40_10","Cooler Operating & Maintenance","Ac_60_40"
"Ac_60_40_15","Distributing Cooling","Ac_60_40"
"Ac_60_70","Refrigeration Activities","Ac_60"
"Ac_60_70_10","Refrigerator Operating & Maintenance","Ac_60_70"
"Ac_60_70_15","Distributing Refrigeration","Ac_60_70"
"Ac_65","Ventilation And Air Conditioning Activities","Ac"
"Ac_65_10_02","Air Blocking","Ac_65_10"
"Ac_65_10_04","Ascending And Descending Pausing","Ac_65_10"
"Ac_65_10_11","Sheltering – Informal ","Ac_65_10"
"Ac_65_10_14","Congregating (outdoor)","Ac_65_10"
"Ac_65_10_16","Covered Walking","Ac_65_10"
"Ac_65_10_27","Entering And Exiting","Ac_65_10"
"Ac_65_10_30","Fire Stepped Ascending And Descending","Ac_65_10"
"Ac_65_10_31","Formal Pausing – Indoor ","Ac_65_10"
"Ac_65_10_32","Formal Pausing – Outdoor ","Ac_65_10"
"Ac_65_10_34","Goods Conveying","Ac_65_10"
"Ac_65_10_47","Lift Accommodating","Ac_65_10"
"Ac_65_10_48","Lift Machine Operating","Ac_65_10"
"Ac_65_10_49","Lift Stopping","Ac_65_10"
"Ac_65_10_50","Lift Travelling ","Ac_65_10"
"Ac_65_10_51","Mechanical Pitched Ascending And Descending","Ac_65_10"
"Ac_65_10_53","Monumental Stepped Ascending And Descending","Ac_65_10"
"Ac_65_10_56","Narrow Circulating Between Rooms","Ac_65_10"
"Ac_65_10_62","Pitched Ascending And Descending","Ac_65_10"
"Ac_65_10_75","Secure Entering And Exiting","Ac_65_10"
"Ac_65_10_77","Sheltering – Formal ","Ac_65_10"
"Ac_65_10_93","Utilitarian Stepped Ascending And Descending","Ac_65_10"
"Ac_65_10_96","Uncovered Walking","Ac_65_10"
"Ac_65_10_97","Wide Circulating Between Rooms","Ac_65_10"
"Ac_65_40","Ventilation Activities","Ac_65"
"Ac_65_40_10","Ventilator Operating & Maintenance","Ac_65_40"
"Ac_65_80","Air Conditioning Activities","Ac_65"
"Ac_65_80_10","Air Conditioner Operating & Maintenance","Ac_65_80"
"Ac_70","Electrical Activities","Ac"
"Ac_70_10","Electrical Power Generation Activities","Ac_70"
"Ac_70_10_08","Boiler Operating & Maintenance","Ac_70_10"
"Ac_70_10_15","Cooling Tower Operating & Maintenance","Ac_70_10"
"Ac_70_10_27","Electricity Substation Activities","Ac_70_10"
"Ac_70_10_72","Reactor Operating & Maintenance","Ac_70_10"
"Ac_70_10_91","Turbine Operating & Maintenance","Ac_70_10"
"Ac_70_40","Kinetic Power Generation Activities","Ac_70"
"Ac_70_40_96","Water Mill Operating & Maintenance","Ac_70_40"
"Ac_70_40_97","Wind Mill Operating & Maintenance","Ac_70_40"
"Ac_70_70","Electrical Power Transmission And Distribution Activities","Ac_70"
"Ac_70_70_28","Electricity Transmitting","Ac_70_70"
"Ac_75","Communications, Security, Safety And Protection Activities","Ac"
"Ac_75_10","Broadcast Communications Activities","Ac_75"
"Ac_75_10_70","Radio Broadcast Controlling","Ac_75_10"
"Ac_75_10_72","Radio Broadcast Recording","Ac_75_10"
"Ac_75_10_74","Radio Broadcasting","Ac_75_10"
"Ac_75_10_91","Television Broadcast Controlling","Ac_75_10"
"Ac_75_10_92","Television Broadcast Recording","Ac_75_10"
"Ac_75_10_93","Television Broadcasting","Ac_75_10"
"Ac_75_10_97","Web Serving","Ac_75_10"
"Ac_75_30","Peer-To-Peer Communications Activities","Ac_75"
"Ac_75_30_05","Automated Telephone Exchanging","Ac_75_30"
"Ac_75_30_23","Digital Data Transmitting","Ac_75_30"
"Ac_75_30_52","Manual Telephone Exchanging","Ac_75_30"
"Ac_75_30_88","Telecommunications Controlling","Ac_75_30"
"Ac_75_30_89","Telephoning","Ac_75_30"
"Ac_75_70","Electronic Security Activities","Ac_75"
"Ac_75_70_28","Electronic Security Controlling","Ac_75_70"
"Ac_75_80","Electronic Safety Activities","Ac_75"
"Ac_75_80_27","Electronic Safety Controlling","Ac_75_80"
"Ac_75_90","Electronic Protection Activities","Ac_75"
"Ac_75_90_26","Electronic Protection Controlling","Ac_75_90"
"Ac_80","Rail Activities","Ac"
"Ac_80_10","Rail Way Activities","Ac_80"
"Ac_80_10_50","Marshalling","Ac_80_10"
"Ac_80_10_58","Over Passing","Ac_80_10"
"Ac_80_10_71","Railway Track Buffering","Ac_80_10"
"Ac_80_10_75","Railway Travelling","Ac_80_10"
"Ac_80_10_77","Signal Controlling","Ac_80_10"
"Ac_80_10_92","Under Passing","Ac_80_10"
"Ac_80_80","Rail Loading And Embarkation Activities","Ac_80"
"Ac_80_80_02","Alighting Trains","Ac_80_80"
"Ac_80_80_20","Customs Controlling","Ac_80_80"
"Ac_80_80_34","Goods Loading And Unloading","Ac_80_80"
"Ac_80_80_60","Passport Controlling","Ac_80_80"
"Ac_80_80_72","Railway Station Arriving","Ac_80_80"
"Ac_80_80_73","Railway Station Departing","Ac_80_80"
"Ac_80_80_82","Station Forecourt Activities","Ac_80_80"
"Ac_80_80_86","Ticketing","Ac_80_80"
"Ac_80_80_87","Train Disembarking","Ac_80_80"
"Ac_80_80_88","Train Embarking","Ac_80_80"
"Ac_80_80_89","Train Standing","Ac_80_80"
"Ac_80_80_90","Train Stopping","Ac_80_80"
"Ac_80_80_94","Vehicle Loading And Unloading","Ac_80_80"
"Ac_80_90","Rail Storage And Repair Activities","Ac_80"
"Ac_80_90_11","Carriage Cleaning","Ac_80_90"
"Ac_80_90_26","Engine Fuelling","Ac_80_90"
"Ac_80_90_27","Engine Inspecting","Ac_80_90"
"Ac_80_90_28","Engine Servicing","Ac_80_90"
"Ac_80_90_29","Engine Washing","Ac_80_90"
"Ac_80_90_70","Rail Repairing","Ac_80_90"
"Ac_81","Road Activities","Ac"
"Ac_81_10","Road Way Activities","Ac_81"
"Ac_81_10_08","Bus Manoeuvring","Ac_81_10"
"Ac_81_10_11","Car Manoeuvring – Indoor ","Ac_81_10"
"Ac_81_10_12","Car Manoeuvring – Outdoor ","Ac_81_10"
"Ac_81_10_16","Carriageway Separating","Ac_81_10"
"Ac_81_10_20","Cycling","Ac_81_10"
"Ac_81_10_27","Emergency Stopping","Ac_81_10"
"Ac_81_10_36","Road Buffering","Ac_81_10"
"Ac_81_10_42","Intersecting","Ac_81_10"
"Ac_81_10_46","Laying-By And Passing","Ac_81_10"
"Ac_81_10_61","Walking","Ac_81_10"
"Ac_81_10_63","Pedestrian Crossing","Ac_81_10"
"Ac_81_10_64","Pedestrian Standing","Ac_81_10"
"Ac_81_10_70","Railway Crossing","Ac_81_10"
"Ac_81_10_72","Driving – Fast ","Ac_81_10"
"Ac_81_10_73","Driving – Slow","Ac_81_10"
"Ac_81_10_90","Truck Manoeuvring","Ac_81_10"
"Ac_81_80","Road Loading And Embarkation Activities","Ac_81"
"Ac_81_80_05","Bus Disembarking","Ac_81_80"
"Ac_81_80_06","Bus Embarking","Ac_81_80"
"Ac_81_80_07","Bus Station Arriving","Ac_81_80"
"Ac_81_80_08","Bus Station Departing","Ac_81_80"
"Ac_81_80_09","Bus Standing","Ac_81_80"
"Ac_81_80_10","Bus Stopping","Ac_81_80"
"Ac_81_80_19","Customs Controlling","Ac_81_80"
